Indicadores municipales de sostenibilidad: Mujeres electas en elecciones municipales (% sobre total personas electas);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995
48025;Zeberio;33,33;55,56;33,33;44,44;33,33;28,57;14,29;0,00
20025;Zegama;44,44;22,22;44,44;22,22;44,44;22,22;22,22;33,33
20026;Zerain;42,86;57,14;57,14;20,00;40,00;28,57;0,00;20,00
20027;Zestoa;54,55;45,45;36,36;45,45;36,36;18,18;27,27;27,27
48913;Zierbena;44,44;22,22;22,22;11,11;33,33;11,11;11,11;11,11
01018;Zigoitia;33,33;55,56;55,56;33,33;44,44;44,44;22,22;14,29
48915;Ziortza-Bolibar;42,86;42,86;42,86;42,86;28,57;;;
20028;Zizurkil;45,45;54,55;54,55;54,55;45,45;54,55;27,27;27,27
01063;Zuia;45,45;54,55;36,36;36,36;18,18;11,11;11,11;22,22
20081;Zumaia;47,06;58,82;46,15;38,46;46,15;30,77;38,46;23,08
20080;Zumarraga;46,15;53,85;46,15;35,29;41,18;23,53;35,29;23,53
